Election,County,Candidate_R,Percent,Raw_Vote_R,Candidate_D,Percent,Raw_Vote_D,Candidate_3,Percent,Raw_Vote_3,Total_Vote,Turnout
6th Congressional District,Cook,Roskam,46.16%,18608,Casten,53.84%,21705,None,N/A,N/A,40313,55.65%
6th Congressional District,DuPage-6,Roskam,45.29%,76137,Casten,54.71%,91991,None,N/A,N/A,168128,57.87%
6th Congressional District,Kane-6,Roskam,48.53%,21446,Casten,51.47%,22746,None,N/A,N/A,44192,54.77%
6th Congressional District,Lake-6,Roskam,51.69%,14661,Casten,48.31%,13702,None,N/A,N/A,28363,62.87%
6th Congressional District,McHenry-6,Roskam,46.28%,16247,Casten,53.72%,18857,None,N/A,N/A,35104,51.46%
6th Congressional District,Total,Roskam,46.54%,147099,Casten,53.46%,169001,None,N/A,N/A,316100,56.52%
,,,,,,,,,,,,
12th Congressional District,Alexander,Bost,49.66%,1084,Kelly,50.34%,1099,Auxier,2.34%,51,2183,
12th Congressional District,Franklin,Bost,64.43%,9958,Kelly,33.20%,5131,Auxier,2.37%,366,15455,57.90%
12th Congressional District,Jackson,Bost,48.01%,9879,Kelly,49.31%,10148,Auxier,2.68%,551,20578,55.27%
12th Congressional District,Jefferson,Bost,64.91%,9088,Kelly,32.52%,4554,Auxier,2.57%,360,14002,59.43%
12th Congressional District,Madison,Bost,44.15%,16081,Kelly,51.59%,18789,Auxier,4.26%,1551,36421,50.23%
12th Congressional District,Monroe,Bost,62.20%,9735,Kelly,35.73%,5593,Auxier,2.07%,324,15652,60.51%
12th Congressional District,Perry,Bost,67.75%,5819,Kelly,30.59%,2627,Auxier,1.66%,143,8589,
12th Congressional District,Pulaski,Bost,59.32%,1442,Kelly,38.58%,938,Auxier,2.10%,51,2431,
12th Congressional District,Randolph,Bost,62.52%,7672,Kelly,35.18%,4317,Auxier,2.31%,283,12272,57.93%
12th Congressional District,St. Clair,Bost,42.11%,41628,Kelly,54.49%,53867,Auxier,3.39%,3355,98850,51.89%
12th Congressional District,Union,Bost,65.62%,4997,Kelly,31.74%,2417,Auxier,2.64%,201,7615,63.53%
12th Congressional District,Williamson,Bost,64.62%,17728,Kelly,32.79%,8996,Auxier,2.59%,710,27434,56.06%
12th Congressional District,Total,Bost,51.66%,135111,Kelly,45.30%,118476,Auxier,3.04%,7946,261533,56.97%
,,,,,,,,,,,,
13th Congressional Distict,Bond,Davis,63.81%,1192,Dirksen-Londrigan,36.19%,676,None,N/A,N/A,1868,
13th Congressional Distict,Calhoun,Davis,64.08%,1447,Dirksen-Londrigan,35.92%,811,None,N/A,N/A,2258,65.68%
13th Congressional Distict,Champaign,Davis,30.67%,18158,Dirksen-Londrigan,69.33%,41039,None,N/A,N/A,59197,66.44%
13th Congressional Distict,Christian,Davis,73.16%,9452,Dirksen-Londrigan,26.84%,3467,None,N/A,N/A,12919,
13th Congressional Distict,De Witt,Davis,70.68%,4377,Dirksen-Londrigan,29.32%,1816,None,N/A,N/A,6193,
13th Congressional Distict,Greene,Davis,69.10%,2985,Dirksen-Londrigan,30.90%,1335,None,N/A,N/A,4320,
13th Congressional Distict,Jersey,Davis,67.99%,5917,Dirksen-Londrigan,32.01%,2786,None,N/A,N/A,8703,57.29%
13th Congressional Distict,Macon,Davis,58.55%,22945,Dirksen-Londrigan,41.45%,16242,None,N/A,N/A,39187,
13th Congressional Distict,Macoupin,Davis,60.94%,10969,Dirksen-Londrigan,39.06%,7031,None,N/A,N/A,18000,57.41%
13th Congressional Distict,Madison,Davis,52.72%,22838,Dirksen-Londrigan,47.28%,20480,None,N/A,N/A,43318,64.58%
13th Congressional Distict,McLean,Davis,37.56%,7165,Dirksen-Londrigan,62.44%,11912,None,N/A,N/A,19077,55.80%
13th Congressional Distict,Montgomery,Davis,65.25%,7438,Dirksen-Londrigan,34.75%,3961,None,N/A,N/A,11399,71.41%
13th Congressional Distict,Piatt,Davis,65.45%,4985,Dirksen-Londrigan,34.55%,2631,None,N/A,N/A,7616,
13th Congressional Distict,Sangamon,Davis,44.97%,16337,Dirksen-Londrigan,55.03%,19991,None,N/A,N/A,36328,64.19%
13th Congressional Distict,Total,Davis,50.37%,136205,Dirksen-Londrigan,49.63%,134178,None,N/A,N/A,270383,62.85%
,,,,,,,,,,,,
14th Congressional District,DeKalb,Hultgren,48.38%,7215,Underwood,51.62%,7699,None,N/A,N/A,14914,62.96%
14th Congressional District,DuPage-14,Hultgren,37.02%,2455,Underwood,62.98%,4176,None,N/A,N/A,6631,56.95%
14th Congressional District,Kane-14,Hultgren,48.15%,38797,Underwood,51.85%,41777,None,N/A,N/A,80574,62.02%
14th Congressional District,Kendall,Hultgren,48.70%,15615,Underwood,51.30%,16451,None,N/A,N/A,32066,59.28%
14th Congressional District,Lake-14,Hultgren,47.69%,19453,Underwood,52.31%,21341,None,N/A,N/A,40794,57.92%
14th Congressional District,McHenry-14,Hultgren,49.63%,40481,Underwood,50.37%,41077,None,N/A,N/A,81558,49.42%
14th Congressional District,Will,Hultgren,42.86%,17455,Underwood,57.14%,23266,None,N/A,N/A,40721,63.20%
14th Congressional District,Total,Hultgren,47.59%,141471,Underwood,52.41%,155787,None,N/A,N/A,297258,58.82%
